email,phone,skills,skill_count,candidate_level,experience_years,project_count,certification_count,selection_status,employability_score,ranking_score,cluster,cluster_level,PC1,PC2
priya.sharma@gmail.com,9876543204,java,1,Beginner,0,1,0,0,20,29,1,Beginner,-2.7341636561908502,0.0290792381996436
rohan.verma@gmail.com,9876543202,"html, css",2,Beginner,1,1,0,0,30,25,1,Beginner,-2.2500816013119187,-0.0400880135014038
dev.sharma@gmail.com,9876543216,"python, machine learning, pandas, numpy",4,Intermediate,3,4,2,1,70,13,0,Intermediate,0.016668185675587,0.1180534169280123
sakshi.agarwal@gmail.com,9876543229,"python, machine learning, deep learning, nlp, mlops, docker, aws",7,Advanced,8,9,5,1,120,1,2,Advanced,3.908068187262456,0.1737688727693269
tarun.bhasin@gmail.com,9876543227,"python, machine learning, deep learning, computer vision, pytorch, docker",6,Advanced,8,7,4,1,110,5,2,Advanced,2.8635641891887103,-0.2307755208227973
johndoe@gmail.com,9876543210,"python, sql, machine learning",3,Intermediate,3,3,2,1,60,17,0,Intermediate,-0.4830541505385336,-0.2947365653990306
kavya.sharma@gmail.com,9876543221,"machine learning, python, sql, deep learning, aws",5,Advanced,5,6,3,1,100,6,2,Advanced,1.447936328099743,0.1846175650666527
varun.nair@gmail.com,9876543218,"react, node.js, express, mongodb",4,Intermediate,3,4,1,0,70,14,0,Intermediate,-0.3190911226736421,0.4392661169642796
ritika.sen@gmail.com,9876543217,"python, sql, scikit-learn, pandas",4,Intermediate,4,5,2,1,70,12,0,Intermediate,0.4190726113611878,0.2620304055026189
vikram.aditya@gmail.com,9876543206,"python, git",2,Beginner,1,1,1,0,30,23,1,Beginner,-1.9143222929626893,-0.361300713537671
yash.singh@gmail.com,9876543230,"python, machine learning, tensorflow, pytorch, kubernetes, docker, aws",7,Advanced,9,8,5,1,120,2,2,Advanced,3.892427905927265,-0.308188361258764
ishaan.malhotra@gmail.com,9876543226,"python, django, react, postgresql, docker, aws",6,Advanced,6,8,3,1,110,3,2,Advanced,2.3500630899994643,0.7413845359683022
neha.singh@gmail.com,9876543203,"python, sql",2,Beginner,1,2,1,0,30,26,1,Beginner,-1.7052999394522947,-0.0483336022363223
divya.deshmukh@gmail.com,9876543228,"python, sql, spark, Hadoop, tableau, aws",6,Advanced,7,6,3,1,110,4,2,Advanced,2.12540045515388,-0.0535398093611368
sneha.gupta@gmail.com,9876543215,"java, spring boot, sql",3,Intermediate,4,4,2,1,60,22,0,Intermediate,-0.0806497248529328,-0.1507595768244238
tanvi.joshi@gmail.com,9876543208,javascript,1,Beginner,0,1,0,0,20,27,1,Beginner,-2.7341636561908502,0.0290792381996436
ananya.roy@gmail.com,9876543213,"sql, tableau, power bi",3,Intermediate,2,3,2,1,60,19,0,Intermediate,-0.6764362227137393,-0.1257464426722886
amit.kumar@gmail.com,9876543205,c++,1,Beginner,0,0,0,0,20,30,1,Beginner,-2.943186009701246,-0.2838878731017049
rahul.dr@gmail.com,9876543212,"python, pandas, numpy",3,Intermediate,3,2,1,0,60,21,0,Intermediate,-1.027835812398158,-0.2864909766641121
alok.verma@gmail.com,9876543225,"python, machine learning, natural language processing, aws, docker",5,Advanced,7,5,4,1,100,8,2,Advanced,1.9614374272889887,-0.787542491724447
megha.thakur@gmail.com,9876543219,"python, sql, statistics, pandas",4,Intermediate,4,3,2,1,70,11,0,Intermediate,0.0010279043403976,-0.3639038171000782
deepak.mishra@gmail.com,9876543220,"c++, algorithms, data structures, sql",4,Intermediate,3,5,2,1,70,15,0,Intermediate,0.2256905391859821,0.431020528229361
karan.patel@gmail.com,9876543214,"python, flask, sql",3,Intermediate,3,3,1,0,60,20,0,Intermediate,-0.8188134588877628,0.0264761346372365
arjun.reddy@gmail.com,9876543222,"python, machine learning, deep learning, pytorch, docker",5,Advanced,6,5,3,1,100,7,2,Advanced,1.432296046764554,-0.2973396689614379
